requested_by,min,max,mean,count,min_hours,max_hours,mean_hours,min_days,max_days,mean_days
arouf@ec2,4265.065140008926,18434.709612846375,10012.331024142733,342,1.1847403166691461,5.120752670235104,2.7812030622618704,0.04936417986121443,0.21336469459312934,0.11588346092757794
arouf@ec23,4259.013756513596,18428.738615751266,10167.021406515723,336,1.183059376809332,5.119094059930907,2.8241726129210343,0.04929414070038884,0.21329558583045446,0.11767385887170977
arouf@ec20,4186.975997924805,18399.75362801552,10017.074623754444,340,1.1630488883124457,5.111042674448755,2.782520728820679,0.04846037034635191,0.2129601114353648,0.11593836370086162
arouf@ec7,4292.1933081150055,18265.4609811306,10059.175428057564,338,1.192275918920835,5.073739161425166,2.794215396682657,0.04967816328836812,0.21140579839271528,0.11642564152844403
arouf@ec21,4220.323625326157,18264.87883234024,10345.22643044348,331,1.1723121181461547,5.073577453427845,2.873674008456522,0.04884633825608978,0.21139906055949353,0.11973641701902175
arouf@ec4,4345.877517938614,18158.000918149948,10528.239274717265,322,1.2071881994273927,5.043889143930541,2.924510909643685,0.050299508309474696,0.21016204766377256,0.12185462123515353
arouf@ec5,4240.031952142715,18053.5970993042,10421.316856743359,328,1.1777866533729766,5.014888083140056,2.894810237984266,0.049074443890540685,0.20895367013083563,0.12061709324934443
arouf@ec6,4229.518449783325,18049.457450389862,10202.238633549856,334,1.1748662360509237,5.01373818066385,2.833955175986071,0.048952759835455155,0.20890575752766044,0.1180814656660863
arouf@ec24,4086.067069530487,17946.964544296265,10006.644457897957,339,1.1350186304251353,4.985267928971185,2.7796234605272105,0.04729244293438064,0.20771949704046602,0.11581764418863376
arouf@ec18,4181.281754255295,17943.66545844078,9888.778884938438,343,1.161467153959804,4.98435151623355,2.7468830235940107,0.04839446474832517,0.20768131317639793,0.11445345931641711
arouf@ec15,4297.164886236191,17908.693621873856,9971.4290241254,342,1.1936569128433863,4.974637117187182,2.769841395590389,0.04973570470180776,0.20727654654946592,0.11541005814959954
arouf@ec30,4036.9369971752167,17446.95393204689,9448.903218323505,361,1.1213713881042269,4.846376092235247,2.6246953384231957,0.04672380783767612,0.20193233717646863,0.10936230576763316
arouf@ec29,4155.7910487651825,17384.304433584213,9754.05239243767,349,1.154386402434773,4.828973453773393,2.709458997899353,0.04809943343478221,0.20120722724055803,0.11289412491247304
arouf@ec40,4105.831983804703,17205.52135705948,9500.306788451178,358,1.1405088843901952,4.779311488072078,2.6389741079031053,0.04752120351625813,0.1991379786696699,0.1099572544959627
arouf@ec39,4192.7443952560425,16948.88524389267,9481.839925906004,361,1.1646512209044562,4.708023678859075,2.633844423862779,0.04852713420435234,0.19616765328579477,0.10974351766094913
